"","group1","n","mean","median","sd","min","max"
"X11","High school diploma",809,22807.7,18600,12562.66,10000,125000
"X12","Some college",451,26160.31,22000,14147.83,10000,93000
"X13","Associate's degree",436,26892.2,22000,14708.86,10000,90000
"X14","Bachelor's degree",657,36505.19,32000,19182.2,10000,98000
"X15","Master's degree",180,42688.89,39500,21542.63,10000,98000
"X16","Professional degree",52,49276.92,48800,22230.1,13000,100000
"X17","Doctorate degree",42,65140.48,66000,20699.35,24000,96000
"X18","method",NA,NA,NA,NA,NA,NA
