GDLIN,OBRAT,BLACK,HISPAN,MARRIED,LOANPRC,fit,se.fit,residual.scale,UL,LL,PredictedProb
0,32.35767478813559,1,0,0,2.105,-0.7322754201485399,0.6772065031233504,1,0.6445228550156819,0.11308592619192277,0.3246956008741917
0,32.35767478813559,1,0,0,3.093838383838384,-0.7485289691140798,0.6707191268775672,1,0.6378582845004978,0.11273152994306537,0.3211419155392954
0,32.35767478813559,1,0,0,4.082676767676768,-0.7647825180796197,0.6642476032204576,1,0.6311475065638718,0.11237500432091005,0.3176088315465604
0,32.35767478813559,1,0,0,5.071515151515152,-0.7810360670451597,0.6577924000372048,1,0.624393103946733,0.11201628203891521,0.3140966328612231
0,32.35767478813559,1,0,0,6.060353535353535,-0.7972896160106997,0.6513540025571016,1,0.617597735471519,0.11165529359177723,0.3106055946170811
0,32.35767478813559,1,0,0,7.0491919191919195,-0.8135431649762397,0.6449329140968652,1,0.6107641325607052,0.11129196717507903,0.3071359830868987
0,32.35767478813559,1,0,0,8.038030303030304,-0.8297967139417796,0.638529656838004,1,0.6038950955198557,0.11092622860228032,0.3036880556598737
0,32.35767478813559,1,0,0,9.026868686868687,-0.8460502629073196,0.6321447726397101,1,0.5969934895954063,0.11055800121902286,0.30026206082606943
0,32.35767478813559,1,0,0,10.015707070707071,-0.8623038118728595,0.6257788238887838,1,0.5900622408186934,0.1101872058147354,0.29685823816770696
0,32.35767478813559,1,0,0,11.004545454545456,-0.8785573608383994,0.6194323943881328,1,0.5831043316490029,0.10981376053153596,0.2934768183572066
0,32.35767478813559,1,0,0,11.993383838383838,-0.8948109098039394,0.6131060902854154,1,0.57612279642961,0.10943758077044187,0.29011802316185875
0,32.35767478813559,1,0,0,12.982222222222223,-0.9110644587694794,0.6068005410434205,1,0.5691207166719009,0.1090585790949141,0.286782065455
0,32.35767478813559,1,0,0,13.971060606060608,-0.9273180077350194,0.6005164004537883,1,0.5621012161837158,0.10867666513178319,0.2834691492335611
0,32.35767478813559,1,0,0,14.95989898989899,-0.9435715567005593,0.5942543476956887,1,0.5550674560589944,0.10829174546962286,0.2801794696418496
