GDLIN,OBRAT,BLACK,HISPAN,LOANPRC,fit,se.fit,residual.scale,UL,LL,PredictedProb
0,0,1,0,77.06418322515214,-0.4277603299522732,0.4480768452148122,1,0.6107510429987194,0.2131584770911504,0.3946612707175447
0,1,1,0,77.06418322515214,-0.4628774229728807,0.4398221316667251,1,0.5984891777782158,0.20999943821403474,0.38630344152512114
0,2,1,0,77.06418322515214,-0.497994515993488,0.4316567344265812,1,0.5861452802203357,0.20684618563777843,0.3780120806005695
0,3,1,0,77.06418322515214,-0.5331116090140955,0.42358581873515605,1,0.573737493823004,0.20369803119484411,0.36979144749675985
0,4,1,0,77.06418322515214,-0.5682287020347028,0.41561488890197335,1,0.5612844291610708,0.20055425113284167,0.36164564298954227
0,5,1,0,77.06418322515214,-0.6033457950553103,0.4077498087138992,1,0.5488050647344828,0.1974140867890816,0.3535786021642755
0,6,1,0,77.06418322515214,-0.6384628880759176,0.3999968221388737,1,0.5363186433449196,0.1942767457562072,0.34559408824867033
0,7,1,0,77.06418322515214,-0.6735799810965251,0.3923625740586489,1,0.5238445651161835,0.19114140364277174,0.33769568720323834
0,8,1,0,77.06418322515214,-0.7086970741171326,0.38485413068903696,1,0.5114022783147714,0.18800720654771583,0.32988680307525076
0,9,1,0,77.06418322515214,-0.7438141671377398,0.3774789992577794,1,0.49901116914103394,0.1848732743835589,0.3221706541168607
0,10,1,0,77.06418322515214,-0.7789312601583471,0.3702451464079569,1,0.48669045164769853,0.18173870519926102,0.31455026966298233
0,11,1,0,77.06418322515214,-0.8140483531789546,0.36316101467861184,1,0.4744590589019854,0.17860258066939788,0.30702848775970093
0,12,1,0,77.06418322515214,-0.8491654461995621,0.3562355362844968,1,0.46233553644193376,0.17546397293048802,0.29960795352944075
0,13,1,0,77.06418322515214,-0.8842825392201694,0.3494781432753152,1,0.4503379389899436,0.17232195295660463,0.2922911182548831
0,14,1,0,77.06418322515214,-0.9193996322407769,0.34289877300476745,1,0.4384837312811785,0.16917560067295973,0.2850802391597308
0,15,1,0,77.06418322515214,-0.9545167252613844,0.33650786768654156,1,0.42678969374675385,0.1660240170056478,0.2779773798608851
0,16,1,0,77.06418322515214,-0.9896338182819917,0.3303163666660578,1,0.4152718336679425,0.16286633805536255,0.27098441146344254
0,17,1,0,77.06418322515214,-1.024750911302599,0.32433568990436856,1,0.40394530229523046,0.15970175155937388,0.26410301426716093
0,18,1,0,77.06418322515214,-1.0598680043232065,0.3185777110687038,1,0.3928243183127194,0.1565295157657266,0.25733468005067595
0,19,1,0,77.06418322515214,-1.094985097343814,0.31305471857098865,1,0.3819220979321269,0.15334898078270992,0.25068071489777877
0,20,1,0,77.06418322515214,-1.1301021903644213,0.30777936291295094,1,0.3712507918291348,0.15015961238155356,0.2441422425284918
0,21,1,0,77.06418322515214,-1.1652192833850288,0.30276458880852897,1,0.36082142909481046,0.14696101811817178,0.23772020809648517
0,22,1,0,77.06418322515214,-1.200336376405636,0.2980235507865912,1,0.3506438683711842,0.14375297549912303,0.2314153824135571
0,23,1,0,77.06418322515214,-1.2354534694262436,0.2935695113533638,1,0.3407267563750368,0.14053546174856246,0.22522836656143463
0,24,1,0,77.06418322515214,-1.270570562446851,0.28941572133319277,1,0.33107749408604253,0.13730868454077563,0.21915959685102288
0,25,1,0,77.06418322515214,-1.3056876554674584,0.28557528271740606,1,0.3217022109784982,0.13407311285488138,0.21320935008941275
0,26,1,0,77.06418322515214,-1.3408047484880656,0.2820609952283285,1,0.3126057477985296,0.13082950689717834,0.20737774911543383
0,27,1,0,77.06418322515214,-1.3759218415086731,0.2788851888233194,1,0.3037916485140062,0.12757894583997262,0.2016647685652776
0,28,1,0,77.06418322515214,-1.4110389345292806,0.27605954547270506,1,0.29526216217063805,0.12432285196547654,0.19607024083069355
0,29,1,0,77.06418322515214,-1.446156027549888,0.2735949146711779,1,0.28701825544979465,0.12106300970423953,0.19059386217345203
0,30,1,0,77.06418322515214,-1.4812731205704954,0.271501128187373,1,0.27905963671578315,0.11780157804447396,0.18523519896114107
0,31,1,0,77.06418322515214,-1.5163902135911027,0.2697868204079995,1,0.2713847922399642,0.1145410948831159,0.17999369399089823
0,32,1,0,77.06418322515214,-1.5515073066117102,0.2684592611746793,1,0.26399103508072946,0.11128447210553156,0.17486867286934035
0,33,1,0,77.06418322515214,-1.5866243996323177,0.26752420813976013,1,0.2568745667779368,0.1080349805209177,0.16985935041872768
0,34,1,0,77.06418322515214,-1.621741492652925,0.2669857853087153,1,0.25003055159821524,0.10479622423258071,0.16496483708124776
0,35,1,0,77.06418322515214,-1.6568585856735325,0.266846393565234,1,0.24345320256950256,0.10157210455874026,0.16018414529521746
0,36,1,0,77.06418322515214,-1.6919756786941398,0.26710665762273067,1,0.2371358780092097,0.09836677419855747,0.1555161958189489
0,37,1,0,77.06418322515214,-1.7270927717147473,0.26776541210499205,1,0.2310711867302452,0.0951845829082863,0.15095982397998994
0,38,1,0,77.06418322515214,-1.7622098647353546,0.2688197274734137,1,0.22525109965572085,0.09203001645923342,0.14651378582941535
0,39,1,0,77.06418322515214,-1.797326957755962,0.27026497446720543,1,0.21966706523492194,0.08890763104267825,0.14217676418278982
0,40,1,0,77.06418322515214,-1.8324440507765694,0.27209492379387124,1,0.21431012586658763,0.08582198552920352,0.1379473745313399
0,41,1,0,77.06418322515214,-1.8675611437971769,0.2743018761707266,1,0.2091710325198958,0.08277757406068131,0.13382417080873873
0,42,1,0,77.06418322515214,-1.9026782368177844,0.27687681660428576,1,0.2042403548981539,0.07977876135211023,0.12980565100072228
