GDLIN,OBRAT,BLACK,HISPAN,MARRIED,LOANPRC,fit,se.fit
0,0,1,0,0,75.44244799788136,0.26354826749778837,0.08564026696824494
0,1,1,0,0,75.44244799788136,0.25883975426024397,0.08340162757875472
0,2,1,0,0,75.44244799788136,0.2541751476853542,0.08119612504325559
0,3,1,0,0,75.44244799788136,0.2495550074202878,0.07902508563298442
0,4,1,0,0,75.44244799788136,0.24497986921644271,0.07688981349154932
0,5,1,0,0,75.44244799788136,0.24045024482428973,0.07479158999065097
0,6,1,0,0,75.44244799788136,0.235966621909272,0.07273167296512781
0,7,1,0,0,75.44244799788136,0.2315294639886427,0.07071129579277131
0,8,1,0,0,75.44244799788136,0.22713921038909685,0.06873166627967624
0,9,1,0,0,75.44244799788136,0.2227962762250273,0.06679396530702893
0,10,1,0,0,75.44244799788136,0.21850105239721068,0.06489934519033534
0,11,1,0,0,75.44244799788136,0.21425390561170923,0.06304892769734943
0,12,1,0,0,75.44244799788136,0.2100551784187469,0.06124380166665823
0,13,1,0,0,75.44244799788136,0.2059051892712974,0.059485020165368156
0,14,1,0,0,75.44244799788136,0.2018042326031026,0.05777359712207719
0,15,1,0,0,75.44244799788136,0.19775257892581394,0.05611050337086712
0,16,1,0,0,75.44244799788136,0.19375047494493333,0.054496662044078756
0,17,1,0,0,75.44244799788136,0.18979814369420825,0.052932943256902794
0,18,1,0,0,75.44244799788136,0.18589578468811632,0.051420158036169984
0,19,1,0,0,75.44244799788136,0.18204357409205965,0.04995905146002687
0,20,1,0,0,75.44244799788136,0.17824166490986645,0.04855029499526933
0,21,1,0,0,75.44244799788136,0.17449018718818696,0.047194478045683816
0,22,1,0,0,75.44244799788136,0.17078924823734992,0.04589209875825839
0,23,1,0,0,75.44244799788136,0.1671389328682339,0.04464355417461901
0,24,1,0,0,75.44244799788136,0.1635393036446925,0.043449129861988865
0,25,1,0,0,75.44244799788136,0.15999040115105953,0.04230898921009059
0,26,1,0,0,75.44244799788136,0.15649224427424724,0.04122316263556803
0,27,1,0,0,75.44244799788136,0.15304483049994097,0.04019153699059553
0,28,1,0,0,75.44244799788136,0.14964813622238055,0.03921384552334087
0,29,1,0,0,75.44244799788136,0.1463021170672114,0.03828965878006481
0,30,1,0,0,75.44244799788136,0.1430067082268774,0.037418376866650185
0,31,1,0,0,75.44244799788136,0.13976182480802138,0.03659922349610253
0,32,1,0,0,75.44244799788136,0.1365673621903515,0.035831242233600236
0,33,1,0,0,75.44244799788136,0.13342319639642478,0.03511329530896039
0,34,1,0,0,75.44244799788136,0.13032918447179548,0.034444065296982324
0,35,1,0,0,75.44244799788136,0.12728516487496994,0.03382205987069164
0,36,1,0,0,75.44244799788136,0.1242909578766079,0.03324561971551588
0,37,1,0,0,75.44244799788136,0.1213463659674051,0.032712929561020336
0,38,1,0,0,75.44244799788136,0.11845117427409418,0.03222203215023707
0,39,1,0,0,75.44244799788136,0.11560515098299527,0.03177084483517304
0,40,1,0,0,75.44244799788136,0.11280804777055133,0.03135717837106483
0,41,1,0,0,75.44244799788136,0.11005960024028298,0.030978757390330344
0,42,1,0,0,75.44244799788136,0.10735952836559823,0.0306332419765558
0,43,1,0,0,75.44244799788136,0.1047075369378954,0.030318249732750515
0,44,1,0,0,75.44244799788136,0.10210331601940276,0.030031377746634284
0,45,1,0,0,75.44244799788136,0.09954654140019803,0.029770223895866782
0,46,1,0,0,75.44244799788136,0.09703687505885934,0.029532407002314784
0,47,1,0,0,75.44244799788136,0.09457396562620396,0.029315585429450588
0,48,1,0,0,75.44244799788136,0.09215744885157458,0.029117473812866577
0,49,1,0,0,75.44244799788136,0.0897869480711437,0.02893585771299818
0,50,1,0,0,75.44244799788136,0.08746207467770971,0.02876860607474789
0,51,1,0,0,75.44244799788136,0.0851824285914716,0.02861368146551746
0,52,1,0,0,75.44244799788136,0.08294759873127112,0.02846914813755759
0,53,1,0,0,75.44244799788136,0.08075716348580665,0.02833317802054254
0,54,1,0,0,75.44244799788136,0.07861069118432977,0.02820405479532689
0,55,1,0,0,75.44244799788136,0.07650774056634502,0.028080176230547062
0,56,1,0,0,75.44244799788136,0.07444786124984595,0.027960054981518618
0,57,1,0,0,75.44244799788136,0.0724305941976319,0.027842318057670304
0,58,1,0,0,75.44244799788136,0.0704554721812588,0.02772570516268131
0,59,1,0,0,75.44244799788136,0.06852202024219271,0.02760906610268534
0,60,1,0,0,75.44244799788136,0.06662975614974599,0.027491357444347653
0,61,1,0,0,75.44244799788136,0.064778190855387,0.027371638588036065
0,62,1,0,0,75.44244799788136,0.06296682894303082,0.02724906740312677
0,63,1,0,0,75.44244799788136,0.061195169074928536,0.027122895553838903
0,64,1,0,0,75.44244799788136,0.0594627044327888,0.02699246362572545
0,65,1,0,0,75.44244799788136,0.057768923153777796,0.02685719614565532
0,66,1,0,0,75.44244799788136,0.056113308761057676,0.026716596572190967
0,67,1,0,0,75.44244799788136,0.05449534058854029,0.026570242318910958
0,68,1,0,0,75.44244799788136,0.05291449419954348,0.02641777986053707
0,69,1,0,0,75.44244799788136,0.05137024179905538,0.026258919960693274
0,70,1,0,0,75.44244799788136,0.04986205263932539,0.02609343305067704
0,71,1,0,0,75.44244799788136,0.048389393418514406,0.0259211447806466
0,72,1,0,0,75.44244799788136,0.04695172867215331,0.02574193175798448
0,73,1,0,0,75.44244799788136,0.04554852115717304,0.025555717482138876
0,74,1,0,0,75.44244799788136,0.04417923222828322,0.02536246848081947
0,75,1,0,0,75.44244799788136,0.04284332220649257,0.025162190648893985
