"","group1","n","mean","median","sd","min","max"
"X11","Married",1401,33085.87,27000,19133.67,10000,125000
"X12","Widowed",14,23778.57,27750,11090.69,10000,40000
"X13","Divorced",388,30628.89,24000,18736.58,10000,100000
"X14","Separated",49,28359.8,26400,14330.31,10000,65000
"X15","Never married",775,24491.74,19000,14470.4,10000,90000
"X16","method",NA,NA,NA,NA,NA,NA
