"","group1","n","mean","median","sd","min","max"
"X11","Married",1179,29725.53,25000,16837.41,10000,95000
"X12","Widowed",51,33192.16,27600,18679.94,10600,98000
"X13","Divorced",556,28957.19,25000,15898.88,10000,95000
"X14","Separated",56,26678.57,24150,12984.7,10000,78000
"X15","Never married",725,25930.95,21600,14795.41,10000,94000
"X16","method",NA,NA,NA,NA,NA,NA
